"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.4888063555081","94.7704911076312","95.0521758597543","95.3338606118775","95.6155453640006","95.8972301161238","96.178914868247","96.4605996203701","96.7422843724932","97.0239691246164","97.3056538767395","97.5873386288627","97.8690233809859","97.8690233809859","97.8690233809859","97.8690233809859","97.8690233809859","","","",
"Afghanistan","AFG","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7718968294813","27.7972561390736","29.9007630194185","32.0050750124616","34.1262340113876","36.2652606739186","38.4063573194182","40.844181451178","43.315058867851","45.8190881970419","48.3563600604649","50.9273073282852","53.5317041603749","56.1696450791411","58.8412323271526","61.5469297111081","64.2864836343148","67.0646234205214","","",
"Angola","AGO","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1443091321417","42.2546732241249","43.3767998591689","44.3638718121643","45.3513358144059","46.3360177882994","47.1502292032677","47.9614676062746","48.7704032007624","49.5751637650709","50.3768413386117","51.174835352104","51.9685422620709","52.7573468956564","53.5415088774555","54.3169268979247","55.0842762884068","55.8429048722414","","",
"Albania","ALB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.866618353128","87.8895518968793","87.9130892710283","87.9289348824885","87.9370346455539","87.9368285638127","87.9285581808857","87.9120756539579","87.8872507466531","87.8534189124145","87.8112853018009","87.7603370740151","87.8604324687508","89.461087876539","90.9812043833494","91.001022378025","91.0203701494956","91.0392276676191","","",
"Andorra","AND","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9999971676266","99.9999959156836","100.000002606308","99.9999962475436","99.9999993953907","100.000004710026","99.9999976931792","99.9999977255833","100.000001129116","99.9999966121292","99.9999954451919","100.000001156937","100","99.9999975924307","100.00000244488","100","99.9999962826959","","",
"Arab World","ARB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.7492899316702","79.0407784698596","79.4086534949348","79.9126728829356","80.4337849106248","81.1176935380443","81.8325597061232","82.5022243082266","83.2344548734768","83.9552983553725","84.6650502050644","85.3522179227568","86.008024254536","86.6547507778654","87.2999553391576","87.9368319209243","88.4173413853979","88.6312854232349","","",
"United Arab Emirates","ARE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6781115357344","95.6781115357344","95.6953875450293","95.7126685259313","95.7299544805867","95.7472454111431","95.7645413197495","95.7818422085558","95.7991480797135","95.816458935375","95.8337747776941","95.8510956088259","95.8684214309266","95.8857522461539","96.1317816240169","96.7694605473501","97.4073688254184","98.0455065574262","","",
"Argentina","ARG","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2130162258015","96.4621250050353","96.7051334707509","96.9424714130131","97.174845477258","97.4021783941008","97.6247250313793","97.842449361637","98.0555690061007","98.2640620076734","98.468054196947","98.6665742189186","98.860739298373","98.9304118079404","99.0002502968424","99.070133780485","99.078374648261","","","",
"Armenia","ARM","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1335078209685","95.4193047530968","95.721605220282","96.0310834282413","96.3429995528238","96.6572941536348","96.9741196948701","97.2933551674429","97.6151254831407","97.9393379214326","98.2660555764661","98.5952876141085","98.9270428994796","99.2616313658288","99.5932610286446","99.7344128234182","99.8985355749982","99.9133765368804","","",
"American Samoa","ASM","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4590893692224","98.5364236215334","98.6137578738445","98.6910921261555","98.7684263784665","98.8457606307776","98.9230948830886","99.0004291353997","99.0777633877107","99.1550976400217","99.2324318923328","99.3097661446438","99.3871003969549","99.4644346492659","99.5417689015769","99.619103153888","99.696437406199","99.7737716585101","","",
"Antigua and Barbuda","ATG","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2537651723165","98.1372591033899","98.0207530344633","97.9042469655367","97.7877408966101","97.6712348276835","97.554728758757","97.4382226898304","97.3217166209038","97.2052105519772","97.0887044830506","96.9721984141241","96.8556923451975","96.7391862762709","96.7391862762709","96.7391862762709","96.7391862762709","96.7391862762709","","",
"Australia","AUS","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7122944754943","99.7112437252646","99.7121983230852","99.7343547399069","99.7563363704125","99.7781464748243","99.7997773567423","99.8212512309794","99.842550311042","99.8636709447483","99.8846197910454","99.9054021742713","99.9259989695005","99.9464508540772","99.9614811802616","99.9700036256584","99.9699720221132","99.9699355966804","","",
"Austria","AUT","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.000003025558","100","100","100","100","99.9999970420285","99.999997053127","100","100","100","100","100","100","100.000002846198","100.000002827921","100.000002813115","100","100","","",
"Azerbaijan","AZE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.3804994316201","74.8177544104346","76.2675985150917","77.7305251283156","79.2060022695772","80.6935505100181","82.1933078178443","83.7053619560097","85.2289723856655","85.9174428134285","86.6060014772725","87.2939531092521","87.9808685781324","88.666533068421","89.3502822141158","90.0316862068693","90.7103154712345","91.3857399436573","","",
"Burundi","BDI","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6631188534789","51.2344746070724","51.8093329721341","52.3873280037004","52.9684344713518","53.5526293963016","54.1402313593146","54.7308703344975","55.32519876027","55.9221755867471","56.5231191725312","57.1276616090397","57.7354344073355","58.3474079884886","58.9625393204856","59.5814674031405","60.2041520313755","60.8305489209566","","",
"Belgium","BEL","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00000118722","99.9999958596247","99.9999967612437","100.000003807729","99.9999965056599","100.000002893516","99.9999991378864","100.000001426344","99.9999997168839","100.000001967011","99.9999972101375","99.9999991686911","99.9999964205645","100.000001641979","100.000000544026","100.000000540711","99.999998656605","100.000003337637","","",
"Benin","BEN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4597010883331","61.780225192069","62.110444409837","62.4598635936805","62.8017695627785","63.1357611259322","63.4621229608415","63.7811167013581","64.0925876253334","64.3961776449763","64.6923678002717","64.9812172767171","65.2627858767614","65.5367577351722","65.8044993016692","66.0656513251275","66.3202399725975","66.4147253381272","","",
"Burkina Faso","BFA","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.9195088646821","55.0807745246394","54.5750445328901","54.085774865101","53.6147678019518","53.1620090982037","52.729367476049","52.2661650321573","51.7752069423357","51.2943385309356","50.8247031622518","50.3668360384348","49.9208887249713","49.4873667702547","49.0671799962451","48.6604569224465","48.2677168842811","47.8881273382888","","",
"Bangladesh","BGD","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.2150435775729","95.386981312192","95.5634015481931","95.7378765166701","95.9102933663008","96.0098753079134","96.1064091515135","96.1997685461232","96.2898549962661","96.3765613689578","96.4598683607136","96.5396609659598","96.6157701028393","96.6881124446954","96.7567130516324","96.8215143559913","96.8825303367953","97.0160055709065","","",
"Bulgaria","BGR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7408325005582","99.7416815892121","99.738341511865","99.7114469153391","99.6651403906608","99.6193486703088","99.5740494271076","99.5292523802325","99.4849531813992","99.4411325941349","99.3977930842797","99.3549268449982","99.3125728565398","99.2707184969149","99.2293620664151","99.1885180608924","99.1481753394065","99.1083428248685","","",
"Bahrain","BHR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8979443202155","99.9080377390953","99.9181311579751","99.9282245768549","99.9383179957347","99.9484114146144","99.9585048334942","99.968598252374","99.9786916712538","99.9887850901336","99.9988785090134","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2454956108156","98.2882599365839","98.3310242623522","98.3737885881206","98.4165529138889","98.4593172396572","98.5020815654256","98.5448458911939","98.5876102169622","98.6303745427305","98.6731388684989","98.7159031942672","98.7586675200355","98.8014318458038","98.8441961715722","98.8869604973405","98.8869604973405","98.8869604973405","","",
"Bosnia and Herzegovina","BIH","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2696997928918","97.2215557195417","97.1708111486966","97.1174140528859","97.0613964853415","97.0027067026911","96.9413778948373","96.8773979713757","96.8107521056587","96.7414514876631","96.6694948466335","96.5948668245824","96.4500304383974","96.3520022855108","96.1681279465937","96.1598440894736","96.151261804966","96.1423560850213","","",
"Belarus","BLR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2985826327519","99.3015001186944","99.3043862415367","99.3072447604585","99.086346066095","98.8346735099927","98.5805360143108","98.3239681512303","98.0649968479667","97.8036922389033","97.5393139770895","97.2720429427957","97.0021589004227","96.7297139474666","96.4547857810254","96.4644434080079","96.474183664476","96.4839711880651","","",
"Belize","BLZ","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4314875481823","88.0819557140109","88.7324973722178","89.3831104845485","90.0337996872725","90.6845524718499","91.3353788433258","91.9862764885025","92.6372455617964","93.2882854084398","93.937479311156","94.5876032948471","95.2385560624341","95.8901849047226","96.5422982256588","97.1755950450055","97.5845395429573","97.9925797872174","","",
"Bermuda","BMU","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9941429050383","99.9865593310404","99.9789757570425","99.9713921830446","99.9638086090467","99.9562250350488","99.948641461051","99.9410578870531","99.9334743130552","99.9258907390573","99.9183071650594","99.9107235910615","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","99.9031400170636","","",
"Bolivia","BOL","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4790439220829","80.3905223509619","81.2753772257619","82.1462298397199","83.0070545471518","83.8571594919272","84.6976338085531","85.5274711477464","86.3476961746842","87.154791141575","87.9136450484754","88.6618992928005","89.3995873136357","90.1129125248234","90.8089331468523","91.4968326985399","92.1768992020207","92.8487351793025","","",
"Brazil","BRA","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.654286412118","93.9551571234893","94.2426175642356","94.5240249673194","94.7992510663614","95.0684092680487","95.3318217554806","95.5895831344556","95.8417912047794","96.0881893887721","96.3292558677852","96.5664726031421","96.7983889596518","97.0248468579136","97.2463708000793","97.6059152091577","97.8479856204928","98.1933926745912","","",
"Barbados","BRB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3244234586283","98.3344248775752","98.3444262965221","98.354427715469","98.3644291344159","98.3744305533628","98.3844319723097","98.3944333912566","98.4044348102036","98.4144362291505","98.4244376480974","98.4344390670443","98.4444404859912","98.4544419049381","98.464443323885","98.4744447428319","98.4844461617788","98.4944475807257","","",
